year;site_no;trial;site;irrigation;plot;rep;date;dps;soil_moisture_30;soil_moisture_60;soil_moisture_90;PAW_30;PAW_60;PAW_90;root_yield;root_dry_matter;leaf_yield;leaf_dry_matter;LAI;n;sugar;K;Na;amino_N;soluble_Nt;NO3;betaine;invert_sugar;marc
2000;1;1_1;Kannemoor;no;85201;1;13/6/2000;69;24.78;25.01;26.75;0;0;0;3.83;14.36;16.5;9.72;2.04;88;7.61;110.35;14.1;32.44;117.01;34.41;19.41;29.12;4.13
2000;1;1_1;Kannemoor;no;85210;2;13/6/2000;69;25.47;24.3;30.99;0;0;0;3.875;14.96;14.2;9.41;2;86;7.84;110.6;12.15;32.49;114.67;30.01;18.95;28.87;4.6
2000;1;1_1;Kannemoor;no;85214;3;13/6/2000;69;24.72;24.57;28.33;0;0;0;3.27;14.41;16.5;9.37;1.97;77;7.64;105.65;12.85;31.65;117.93;32.87;17.8;30.54;4.17
2000;1;1_1;Kannemoor;no;85223;4;13/6/2000;69;23.16;22.94;25.79;0;0;0;3.475;14.99;15;9.28;1.93;86;7.98;109.1;11.7;31.42;114.9;28.7;18.76;33.05;4.4
2000;1;1_1;Kannemoor;no;85202;1;10/7/2000;96;20.57;20.49;26.79;0;0;0;27.35;17.37;53.7;10.43;4.81;78;11.92;72.3;9.9;15.14;67.2;15.17;13.95;10.86;3.45
2000;1;1_1;Kannemoor;no;85212;2;10/7/2000;96;19.59;23.7;28.52;0;0;0;28.35;17.95;49.9;11.14;4.39;86;12.06;71.2;6.05;13.59;60.99;10.15;15.5;11.29;4.11
2000;1;1_1;Kannemoor;no;85216;3;10/7/2000;96;20.25;20.89;30.43;0;0;0;26.7;17.77;45.5;11.22;4.88;86;12.06;69.15;6.7;12.97;59.34;9.39;17.25;10.15;3.74
2000;1;1_1;Kannemoor;no;85221;4;10/7/2000;96;22.9;23.6;24.95;0;0;0;27.65;17.42;47.2;10.36;4.49;80;11.78;73.1;7.3;15.8;67.75;13.41;17.45;10.31;3.71
2000;1;1_1;Kannemoor;no;85203;1;7/8/2000;124;20.43;19.66;25.8;0;0;0;50.45;19.89;65.1;11.49;4.97;74;14.44;55.7;4.3;10.98;50.89;3.43;15.35;8.86;3.79
2000;1;1_1;Kannemoor;no;85211;2;7/8/2000;124;17.67;19.33;21.96;0;0;0;48.3;20.2;61.1;11.63;4.75;76;14.8;54.9;3.35;7.61;40.4;1.72;19;8.34;3.82
2000;1;1_1;Kannemoor;no;85218;3;7/8/2000;124;19.32;20.14;21.64;0;0;0;52.2;20.45;70.6;11.28;4.46;83;15.01;55.6;3.15;9.56;46.96;2.41;15.3;8.36;3.99
2000;1;1_1;Kannemoor;no;85219;4;7/8/2000;124;18.67;22.54;22.24;0;0;0;49.6;19.74;61.3;11.07;4.25;63;14.41;55.15;6.1;9.16;45.09;2.51;13.85;7.53;3.7
