year;site_no;site;date;dps;min_temp;max_temp;av_temp;precipitation;glob_radiation;ET_grass
2000;1;Kannemoor;5/4/2000;0;0;6;0;0;15.7;1.8
2000;1;Kannemoor;6/4/2000;1;0;10;0;0;14;1.2
2000;1;Kannemoor;7/4/2000;2;2;10;0;0;7.1;0.5
2000;1;Kannemoor;8/4/2000;3;1;13;0;0;8.2;1.5
2000;1;Kannemoor;9/4/2000;4;0;11;0;0;18.4;2.3
2000;1;Kannemoor;10/4/2000;5;0;10;0;0;16.6;1.8
2000;1;Kannemoor;11/4/2000;6;2;9;0;0;13;2.4
2000;1;Kannemoor;12/4/2000;7;0;10;0;8;3.1;0.3
2000;1;Kannemoor;13/4/2000;8;5;8;0;4;11.9;1.6
2000;1;Kannemoor;14/4/2000;9;4;12;0;2;14.3;1.4
2000;1;Kannemoor;15/4/2000;10;7;12;0;1;5.6;1
2000;1;Kannemoor;16/4/2000;11;2;10;0;0;6.3;1.2
2000;1;Kannemoor;17/4/2000;12;6;15;0;0;6.8;1.1
2000;1;Kannemoor;18/4/2000;13;9;18;0;1;12.1;2.3
2000;1;Kannemoor;19/4/2000;14;6;11;0;10;3.4;0.4
2000;1;Kannemoor;20/4/2000;15;11;17;0;0;19.4;3.2
2000;1;Kannemoor;21/4/2000;16;10;19;0;0;18.1;1.8
2000;1;Kannemoor;22/4/2000;17;12;20;0;14;16.6;2.9
2000;1;Kannemoor;23/4/2000;18;12;18;0;4;12.9;1.1
2000;1;Kannemoor;24/4/2000;19;6;13;0;6;2.7;0.3
2000;1;Kannemoor;25/4/2000;20;6;18;0;0;21.1;2.9
2000;1;Kannemoor;26/4/2000;21;10;21;0;4;23.7;3
2000;1;Kannemoor;27/4/2000;22;12;21;0;0;21;3
2000;1;Kannemoor;28/4/2000;23;14;25;0;0;17.3;4.1
2000;1;Kannemoor;29/4/2000;24;12;27;0;0;20.4;4.2
2000;1;Kannemoor;30/4/2000;25;12;19;0;0;6.6;0.7
2000;1;Kannemoor;1/5/2000;26;9;17;0;0;12.5;0.8
2000;1;Kannemoor;2/5/2000;27;10;18;0;1;17;0.7
2000;1;Kannemoor;3/5/2000;28;12;20;0;0;24.5;4.6
2000;1;Kannemoor;4/5/2000;29;9;22;0;0;23.1;4.6
2000;1;Kannemoor;5/5/2000;30;10;23;0;0;25.5;4.5
2000;1;Kannemoor;6/5/2000;31;10;22;0;0;26.1;3.8
2000;1;Kannemoor;7/5/2000;32;9;23;0;0;24.9;3.3
2000;1;Kannemoor;8/5/2000;33;10;24;0;0;25.2;4
2000;1;Kannemoor;9/5/2000;34;10;27;0;0;25.1;5.4
2000;1;Kannemoor;10/5/2000;35;10;25;0;0;26.4;5.7
2000;1;Kannemoor;11/5/2000;36;11;24;0;0;26.2;3.5
2000;1;Kannemoor;12/5/2000;37;9;20;0;0;27.5;4.2
2000;1;Kannemoor;13/5/2000;38;8;23;0;0;27.4;4.5
2000;1;Kannemoor;14/5/2000;39;8;25;0;0;27.4;5.8
2000;1;Kannemoor;15/5/2000;40;14;29;0;0;27.2;7
2000;1;Kannemoor;16/5/2000;41;16;31;0;2;23.6;7
2000;1;Kannemoor;17/5/2000;42;10;20;0;4;12.6;0.9
2000;1;Kannemoor;18/5/2000;43;9;21;0;2;13.1;2.2
2000;1;Kannemoor;19/5/2000;44;11;19;0;4;14.7;0.6
2000;1;Kannemoor;20/5/2000;45;8;16;0;0;12.1;1.7
2000;1;Kannemoor;21/5/2000;46;8;18;0;0;14.2;1.9
2000;1;Kannemoor;22/5/2000;47;6;17;0;0;20.3;2.5
2000;1;Kannemoor;23/5/2000;48;14;23;0;9;20.9;3.5
2000;1;Kannemoor;24/5/2000;49;12;17;0;8;9.7;1.7
2000;1;Kannemoor;25/5/2000;50;10;18;0;4;8.6;1.6
2000;1;Kannemoor;26/5/2000;51;12;19;0;2;24.5;2.7
2000;1;Kannemoor;27/5/2000;52;8;18;0;0;13.3;1.8
2000;1;Kannemoor;28/5/2000;53;8;18;0;12;13.5;0.7
2000;1;Kannemoor;29/5/2000;54;9;18;0;10;11.7;0.7
2000;1;Kannemoor;30/5/2000;55;4;18;0;2;19.5;2
2000;1;Kannemoor;31/5/2000;56;10;17;0;0;29.3;2.8
2000;1;Kannemoor;1/6/2000;57;15;21;0;2;12.6;2.3
2000;1;Kannemoor;2/6/2000;58;13;20;0;0;20.5;1.1
2000;1;Kannemoor;3/6/2000;59;10;22;0;3;17;2.1
2000;1;Kannemoor;4/6/2000;60;8;19;0;0;15.4;0.8
2000;1;Kannemoor;5/6/2000;61;10;24;0;16;12;2.1
2000;1;Kannemoor;6/6/2000;62;10;14;0;6;5.4;0.6
2000;1;Kannemoor;7/6/2000;63;11;18;0;2;14.2;1.3
2000;1;Kannemoor;8/6/2000;64;10;20;0;0;23.4;3.1
2000;1;Kannemoor;9/6/2000;65;17;26;0;0;29.5;5
2000;1;Kannemoor;10/6/2000;66;15;28;0;0;27.2;2.1
2000;1;Kannemoor;11/6/2000;67;15;23;0;0;22.7;3.3
2000;1;Kannemoor;12/6/2000;68;14;22;0;0;17;1.8
